,address,train_위도,train_경도
0,사직동 9,37.5744343,126.9689117
1,사직동 9,37.5744343,126.9689117
2,사직동 9,37.5744343,126.9689117
3,사직동 9,37.5744343,126.9689117
4,사직동 9,37.5744343,126.9689117
5,당주동 100,37.5718744,126.9733177
6,내수동 95,37.5741916,126.9705891
7,익선동 55,37.5751303,126.9900570
8,연건동 195-10,37.5754443,127.0018508
9,연건동 195-10,37.5754443,127.0018508
10,연건동 195-10,37.5754443,127.0018508
11,명륜1가 33-85,37.5885650,126.9978265
12,명륜2가 237,37.5856189,127.0002686
13,명륜2가 4,37.5855464,126.9994107
14,명륜2가 4,37.5855464,126.9994107
15,명륜2가 4,37.5855464,126.9994107
16,창신동 23-816,37.5779972,127.0147057
17,창신동 328-17,37.5722773,127.0151913
18,창신동 232,37.5742210,127.0142935
19,창신동 702,37.5805173,127.0140195
20,창신동 702,37.5805173,127.0140195
21,창신동 703,37.5803298,127.0117933
22,창신동 328-17,37.5722773,127.0151913
23,숭인동 1392,37.5737233,127.0227299
24,숭인동 766,37.5760349,127.0211589
25,숭인동 2-1,37.5809831,127.0159310
26,숭인동 766,37.5760349,127.0211589
27,숭인동 76,37.5738554,127.0161891
28,숭인동 202-3,37.5735590,127.0217102
29,숭인동 76,37.5738554,127.0161891
30,숭인동 2-1,37.5809831,127.0159310
31,숭인동 2-1,37.5809831,127.0159310
32,숭인동 2-1,37.5809831,127.0159310
33,교북동 101,37.5714640,126.9620635
34,평창동 66-1,37.6096830,126.9759336
35,평창동 145-5,37.6091252,126.9727122
36,평창동 145-5,37.6091252,126.9727122
37,평창동 108,37.6099802,126.9774074
38,평창동 595,37.6047037,126.9636437
39,평창동 66-1,37.6096830,126.9759336
40,평창동 72,37.6091332,126.9756922
41,평창동 596,37.6109292,126.9786781
42,무악동 82,37.5753907,126.9608065
43,무악동 60,37.5770040,126.9574380
44,무악동 60,37.5770040,126.9574380
45,무악동 60,37.5770040,126.9574380
46,무악동 60,37.5770040,126.9574380
47,무악동 82,37.5753907,126.9608065
48,무악동 60,37.5770040,126.9574380
49,무악동 82,37.5753907,126.9608065
50,무악동 82,37.5753907,126.9608065
51,무악동 60,37.5770040,126.9574380
52,사직동 9,37.5744343,126.9689117
53,사직동 9,37.5744343,126.9689117
54,사직동 9,37.5744343,126.9689117
55,사직동 9-1,37.5735719,126.9677926
56,사직동 9,37.5744343,126.9689117
57,견지동 110,37.5724303,126.9825285
58,견지동 110,37.5724303,126.9825285
59,익선동 55,37.5751303,126.9900570
60,익선동 55,37.5751303,126.9900570
61,익선동 55,37.5751303,126.9900570
62,익선동 55,37.5751303,126.9900570
63,인의동 48-2,37.5714899,126.9986593
64,인의동 48-2,37.5714899,126.9986593
65,이화동 9-1,37.5769728,127.0071662
66,충신동 62-2,37.5751477,127.0040390
67,충신동 62-2,37.5751477,127.0040390
68,명륜1가 23,37.5878613,126.9978962
69,명륜2가 4,37.5855464,126.9994107
70,창신동 703,37.5803298,127.0117933
71,창신동 702,37.5805173,127.0140195
72,창신동 328-17,37.5722773,127.0151913
73,창신동 702,37.5805173,127.0140195
74,창신동 232,37.5742210,127.0142935
75,창신동 703,37.5803298,127.0117933
76,창신동 23-816,37.5779972,127.0147057
77,창신동 702,37.5805173,127.0140195
78,창신동 702,37.5805173,127.0140195
79,창신동 601-1,37.5779876,127.0097923
80,창신동 703,37.5803298,127.0117933
81,창신동 702,37.5805173,127.0140195
82,창신동 232,37.5742210,127.0142935
83,창신동 702,37.5805173,127.0140195
84,숭인동 2-1,37.5809831,127.0159310
85,숭인동 76,37.5738554,127.0161891
86,숭인동 296-19,37.5724122,127.0167423
87,숭인동 569-2,37.5777227,127.0191050
88,숭인동 76,37.5738554,127.0161891
89,숭인동 1421-1,37.5734532,127.0223882
90,숭인동 204-11,37.5721384,127.0205696
91,숭인동 318-2,37.5713267,127.0167133
92,숭인동 202-3,37.5735590,127.0217102
93,숭인동 296-19,37.5724122,127.0167423
94,숭인동 766,37.5760349,127.0211589
95,숭인동 318-2,37.5713267,127.0167133
96,숭인동 318-2,37.5713267,127.0167133
97,숭인동 2-1,37.5809831,127.0159310
98,숭인동 318-2,37.5713267,127.0167133
99,숭인동 2-1,37.5809831,127.0159310
100,교북동 101,37.5714640,126.9620635
101,평창동 145-5,37.6091252,126.9727122
102,평창동 45,37.6081440,126.9737584
103,평창동 45,37.6081440,126.9737584
104,평창동 596,37.6109292,126.9786781
105,무악동 60,37.5770040,126.9574380
106,무악동 82,37.5753907,126.9608065
107,무악동 60,37.5770040,126.9574380
108,무악동 60,37.5770040,126.9574380
109,무악동 82,37.5753907,126.9608065
110,무악동 82,37.5753907,126.9608065
111,무악동 60,37.5770040,126.9574380
112,무악동 60,37.5770040,126.9574380
113,무악동 82,37.5753907,126.9608065
114,무악동 82,37.5753907,126.9608065
115,필운동 174-1,37.5782193,126.9697305
116,사직동 9,37.5744343,126.9689117
117,사직동 9,37.5744343,126.9689117
118,내수동 95,37.5741916,126.9705891
119,내수동 167,37.5727874,126.9732496
120,내수동 72,37.5736031,126.9720991
121,내수동 95,37.5741916,126.9705891
122,신문로1가 238,37.5713399,126.9729599
123,익선동 55,37.5751303,126.9900570
124,익선동 55,37.5751303,126.9900570
125,인의동 48-2,37.5714899,126.9986593
126,인의동 48-2,37.5714899,126.9986593
127,인의동 48-2,37.5714899,126.9986593
128,인의동 48-2,37.5714899,126.9986593
129,인의동 48-2,37.5714899,126.9986593
130,연건동 195-10,37.5754443,127.0018508
131,명륜1가 45-5,37.5869670,126.9988974
132,명륜2가 4,37.5855464,126.9994107
133,명륜2가 4,37.5855464,126.9994107
134,명륜2가 237,37.5856189,127.0002686
135,창신동 703,37.5803298,127.0117933
136,창신동 328-17,37.5722773,127.0151913
137,창신동 702,37.5805173,127.0140195
138,창신동 703,37.5803298,127.0117933
139,창신동 23-816,37.5779972,127.0147057
140,창신동 703,37.5803298,127.0117933
141,창신동 601-1,37.5779876,127.0097923
142,창신동 232,37.5742210,127.0142935
143,창신동 328-17,37.5722773,127.0151913
144,창신동 703,37.5803298,127.0117933
145,창신동 703,37.5803298,127.0117933
146,창신동 703,37.5803298,127.0117933
147,창신동 703,37.5803298,127.0117933
148,숭인동 76,37.5738554,127.0161891
149,숭인동 1421-1,37.5734532,127.0223882
150,숭인동 2-1,37.5809831,127.0159310
151,숭인동 2-1,37.5809831,127.0159310
152,숭인동 1421-2,37.5736251,127.0223827
153,숭인동 766,37.5760349,127.0211589
154,숭인동 2-1,37.5809831,127.0159310
155,숭인동 296-19,37.5724122,127.0167423
156,숭인동 296-19,37.5724122,127.0167423
157,숭인동 318-2,37.5713267,127.0167133
158,숭인동 201-11,37.5738522,127.0213245
159,숭인동 766,37.5760349,127.0211589
160,숭인동 766,37.5760349,127.0211589
161,숭인동 2-1,37.5809831,127.0159310
162,숭인동 296-19,37.5724122,127.0167423
163,숭인동 296-19,37.5724122,127.0167423
164,숭인동 1421-2,37.5736251,127.0223827
165,숭인동 766,37.5760349,127.0211589
166,교남동 62-1,37.5690549,126.9638072
167,평창동 45,37.6081440,126.9737584
168,평창동 72,37.6091332,126.9756922
169,평창동 108,37.6099802,126.9774074
170,평창동 45,37.6081440,126.9737584
171,신영동 254,37.6055355,126.9603335
172,무악동 60,37.5770040,126.9574380
173,무악동 82,37.5753907,126.9608065
174,무악동 60,37.5770040,126.9574380
175,무악동 82,37.5753907,126.9608065
176,무악동 60,37.5770040,126.9574380
177,무악동 60,37.5770040,126.9574380
178,무악동 60,37.5770040,126.9574380
179,무악동 60,37.5770040,126.9574380
180,무악동 82,37.5753907,126.9608065
181,무악동 60,37.5770040,126.9574380
182,무악동 82,37.5753907,126.9608065
183,무악동 60,37.5770040,126.9574380
184,사직동 9,37.5744343,126.9689117
185,사직동 9-1,37.5735719,126.9677926
186,사직동 9-1,37.5735719,126.9677926
187,사직동 9,37.5744343,126.9689117
188,사직동 9,37.5744343,126.9689117
189,사직동 9,37.5744343,126.9689117
190,사직동 9,37.5744343,126.9689117
191,사직동 9,37.5744343,126.9689117
192,내수동 73,37.5726384,126.9722398
193,내수동 73,37.5726384,126.9722398
194,익선동 30-6,37.5751138,126.9891376
195,인의동 48-2,37.5714899,126.9986593
196,인의동 48-2,37.5714899,126.9986593
197,명륜2가 236,37.5861417,126.9987300
198,명륜2가 237,37.5856189,127.0002686
199,명륜2가 4,37.5855464,126.9994107
200,창신동 702,37.5805173,127.0140195
201,창신동 703,37.5803298,127.0117933
202,창신동 702,37.5805173,127.0140195
203,창신동 703,37.5803298,127.0117933
204,창신동 328-17,37.5722773,127.0151913
205,창신동 703,37.5803298,127.0117933
206,창신동 232,37.5742210,127.0142935
207,창신동 703,37.5803298,127.0117933
208,창신동 232,37.5742210,127.0142935
209,창신동 702,37.5805173,127.0140195
210,창신동 601-5,37.5777685,127.0100350
211,창신동 702,37.5805173,127.0140195
212,창신동 702,37.5805173,127.0140195
213,숭인동 1421-2,37.5736251,127.0223827
214,숭인동 2-1,37.5809831,127.0159310
215,숭인동 204-11,37.5721384,127.0205696
216,숭인동 766,37.5760349,127.0211589
217,숭인동 2-1,37.5809831,127.0159310
218,숭인동 204-11,37.5721384,127.0205696
219,숭인동 766,37.5760349,127.0211589
220,숭인동 296-19,37.5724122,127.0167423
221,숭인동 2-1,37.5809831,127.0159310
222,숭인동 1421-2,37.5736251,127.0223827
223,숭인동 2-1,37.5809831,127.0159310
224,숭인동 76,37.5738554,127.0161891
225,숭인동 2-1,37.5809831,127.0159310
226,숭인동 204-11,37.5721384,127.0205696
227,평창동 72,37.6091332,126.9756922
228,평창동 595,37.6047037,126.9636437
229,평창동 72,37.6091332,126.9756922
230,무악동 60,37.5770040,126.9574380
231,무악동 82,37.5753907,126.9608065
232,무악동 60,37.5770040,126.9574380
233,무악동 82,37.5753907,126.9608065
234,사직동 9,37.5744343,126.9689117
235,사직동 9-1,37.5735719,126.9677926
236,사직동 9,37.5744343,126.9689117
237,사직동 9,37.5744343,126.9689117
238,당주동 100,37.5718744,126.9733177
239,내수동 73,37.5726384,126.9722398
240,내수동 110-15,37.5732938,126.9704725
241,인의동 48-2,37.5714899,126.9986593
242,명륜1가 23,37.5878613,126.9978962
243,명륜2가 237,37.5856189,127.0002686
244,창신동 232,37.5742210,127.0142935
245,창신동 703,37.5803298,127.0117933
246,창신동 702,37.5805173,127.0140195
247,창신동 702,37.5805173,127.0140195
248,창신동 703,37.5803298,127.0117933
249,창신동 232,37.5742210,127.0142935
250,창신동 232,37.5742210,127.0142935
251,창신동 702,37.5805173,127.0140195
252,창신동 702,37.5805173,127.0140195
253,창신동 232,37.5742210,127.0142935
254,창신동 702,37.5805173,127.0140195
255,창신동 703,37.5803298,127.0117933
256,창신동 702,37.5805173,127.0140195
257,창신동 703,37.5803298,127.0117933
258,창신동 702,37.5805173,127.0140195
259,창신동 703,37.5803298,127.0117933
260,창신동 702,37.5805173,127.0140195
261,창신동 703,37.5803298,127.0117933
262,창신동 703,37.5803298,127.0117933
263,창신동 703,37.5803298,127.0117933
264,창신동 703,37.5803298,127.0117933
265,창신동 703,37.5803298,127.0117933
266,창신동 703,37.5803298,127.0117933
267,창신동 703,37.5803298,127.0117933
268,창신동 703,37.5803298,127.0117933
269,숭인동 2-1,37.5809831,127.0159310
270,숭인동 766,37.5760349,127.0211589
271,숭인동 296-19,37.5724122,127.0167423
272,숭인동 2-1,37.5809831,127.0159310
273,숭인동 204-11,37.5721384,127.0205696
274,숭인동 2-1,37.5809831,127.0159310
275,숭인동 318-2,37.5713267,127.0167133
276,숭인동 766,37.5760349,127.0211589
277,숭인동 2-1,37.5809831,127.0159310
278,숭인동 318-2,37.5713267,127.0167133
279,숭인동 766,37.5760349,127.0211589
280,숭인동 76,37.5738554,127.0161891
281,숭인동 766,37.5760349,127.0211589
282,숭인동 766,37.5760349,127.0211589
283,숭인동 204-11,37.5721384,127.0205696
284,숭인동 318-2,37.5713267,127.0167133
285,행촌동 41-1,37.5727221,126.9625979
286,평창동 596,37.6109292,126.9786781
287,평창동 66-1,37.6096830,126.9759336
288,평창동 72,37.6091332,126.9756922
289,평창동 72,37.6091332,126.9756922
290,신영동 105-22,37.6019220,126.9623250
291,무악동 82,37.5753907,126.9608065
292,무악동 82,37.5753907,126.9608065
293,무악동 82,37.5753907,126.9608065
294,무악동 60,37.5770040,126.9574380
295,무악동 82,37.5753907,126.9608065
296,무악동 60,37.5770040,126.9574380
297,무악동 82,37.5753907,126.9608065
298,무악동 60,37.5770040,126.9574380
299,무악동 60,37.5770040,126.9574380
300,무악동 60,37.5770040,126.9574380
301,무악동 82,37.5753907,126.9608065
302,무악동 60,37.5770040,126.9574380
303,무악동 60,37.5770040,126.9574380
304,무악동 60,37.5770040,126.9574380
305,무악동 60,37.5770040,126.9574380
306,무악동 88,37.5757509,126.9596227
307,무악동 82,37.5753907,126.9608065
308,무악동 88,37.5757509,126.9596227
309,무악동 60,37.5770040,126.9574380
310,무악동 82,37.5753907,126.9608065
311,무악동 82,37.5753907,126.9608065
312,사직동 9,37.5744343,126.9689117
313,사직동 9,37.5744343,126.9689117
314,사직동 9,37.5744343,126.9689117
315,사직동 9,37.5744343,126.9689117
316,사직동 9-1,37.5735719,126.9677926
317,사직동 9-1,37.5735719,126.9677926
318,사직동 9,37.5744343,126.9689117
319,사직동 9,37.5744343,126.9689117
320,사직동 9,37.5744343,126.9689117
321,당주동 100,37.5718744,126.9733177
322,내수동 73,37.5726384,126.9722398
323,내수동 71,37.5739782,126.9713114
324,신문로1가 238,37.5713399,126.9729599
325,견지동 110,37.5724303,126.9825285
326,익선동 55,37.5751303,126.9900570
327,인의동 48-2,37.5714899,126.9986593
328,인의동 48-2,37.5714899,126.9986593
329,인의동 48-2,37.5714899,126.9986593
330,명륜1가 45-5,37.5869670,126.9988974
331,명륜2가 4,37.5855464,126.9994107
332,창신동 232,37.5742210,127.0142935
333,창신동 703,37.5803298,127.0117933
334,창신동 328-17,37.5722773,127.0151913
335,창신동 703,37.5803298,127.0117933
336,창신동 702,37.5805173,127.0140195
337,창신동 703,37.5803298,127.0117933
338,창신동 703,37.5803298,127.0117933
339,창신동 232,37.5742210,127.0142935
340,창신동 232,37.5742210,127.0142935
341,창신동 328-17,37.5722773,127.0151913
342,창신동 702,37.5805173,127.0140195
343,창신동 232,37.5742210,127.0142935
344,창신동 232,37.5742210,127.0142935
345,창신동 703,37.5803298,127.0117933
346,창신동 703,37.5803298,127.0117933
347,창신동 702,37.5805173,127.0140195
348,창신동 702,37.5805173,127.0140195
349,창신동 703,37.5803298,127.0117933
350,창신동 702,37.5805173,127.0140195
351,창신동 703,37.5803298,127.0117933
352,숭인동 1421-1,37.5734532,127.0223882
353,숭인동 766,37.5760349,127.0211589
354,숭인동 202-3,37.5735590,127.0217102
355,숭인동 204-11,37.5721384,127.0205696
356,숭인동 318-2,37.5713267,127.0167133
357,숭인동 2-1,37.5809831,127.0159310
358,숭인동 2-1,37.5809831,127.0159310
359,숭인동 202-3,37.5735590,127.0217102
360,숭인동 2-1,37.5809831,127.0159310
361,숭인동 318-2,37.5713267,127.0167133
362,숭인동 296-19,37.5724122,127.0167423
363,숭인동 318-2,37.5713267,127.0167133
364,숭인동 1421,37.5737524,127.0223805
365,숭인동 1421,37.5737524,127.0223805
366,숭인동 2-1,37.5809831,127.0159310
367,숭인동 202-3,37.5735590,127.0217102
368,교남동 62-1,37.5690549,126.9638072
369,교북동 101,37.5714640,126.9620635
370,행촌동 41-1,37.5727221,126.9625979
371,평창동 595,37.6047037,126.9636437
372,평창동 596,37.6109292,126.9786781
373,평창동 596,37.6109292,126.9786781
374,평창동 72,37.6091332,126.9756922
375,평창동 45,37.6081440,126.9737584
376,평창동 72,37.6091332,126.9756922
377,평창동 596,37.6109292,126.9786781
378,평창동 66-1,37.6096830,126.9759336
379,신영동 254,37.6055355,126.9603335
380,무악동 60,37.5770040,126.9574380
381,무악동 82,37.5753907,126.9608065
382,무악동 60,37.5770040,126.9574380
383,무악동 60,37.5770040,126.9574380
384,무악동 60,37.5770040,126.9574380
385,무악동 60,37.5770040,126.9574380
386,무악동 60,37.5770040,126.9574380
387,무악동 60,37.5770040,126.9574380
388,무악동 60,37.5770040,126.9574380
389,무악동 82,37.5753907,126.9608065
390,무악동 60,37.5770040,126.9574380
391,무악동 82,37.5753907,126.9608065
392,무악동 60,37.5770040,126.9574380
393,무악동 60,37.5770040,126.9574380
