,역명,승차총승객수,하차총승객수,동주소,위도,경도
0,가능,7553.456112391193,7095.287756016385,가능동,37.7483683,127.0442209
1,가산디지털단지,26939.67811059908,28346.731217997953,가산동,37.4815789,126.8826247
2,간석,6768.887218381978,6363.329358678955,간석동,37.4646879,126.6934511
3,개봉,24300.38848566308,24343.501670506914,개봉동,37.4945222,126.8591026
4,관악,8710.140047363033,8109.736693548388,석수동,37.4188018,126.9091211
5,광명,1672.14452124936,1411.9203149001542,일직동,37.4163636,126.8848772
6,광운대,9976.3965437788,9418.606041986686,월계동,37.6230342,127.0617632
7,구로,21172.894802867384,22009.707302867384,구로동,37.5024345,126.8814915
8,구일,8166.488287250385,8416.051164874552,구로동,37.4963912,126.8699205
9,군포,7490.788920890937,7234.800652841782,당동,37.3540761,126.9484849
10,금정,27898.78633512545,27946.75947900666,금정동,37.3722879,126.9433872
11,금천구청,11674.052675371224,11001.141314644135,시흥동,37.4554679,126.89475
12,남영,11268.367146697388,11928.02585765489,갈월동,37.5405646,126.9713325
13,노량진,22278.655581157196,22413.168305171534,노량진동,37.5158028,126.9483698
14,녹양,5099.405094726062,4680.100006400409,녹양동,37.7593972,127.0422739
16,당정,7482.698540706605,7173.757942908346,당정동,37.3444543,126.9483474
17,대방,15423.081976446492,15216.998297491038,신길동,37.5133255,126.926303
19,덕정,7160.575736047108,6950.438024833591,덕정동,37.8442839,127.0619697
20,도봉,6603.62124935996,6335.37740655402,도봉동,37.6803629,127.045764
22,도원,4106.133090117767,4185.37105734767,창영동,37.468803,126.6424181
23,도화,4064.5107526881734,3687.3689196108553,도화동,37.4661106,126.6683758
24,독산,16033.897715053765,16751.11301843318,가산동,37.4659873,126.8895142
25,동대문,20408.703894649254,21571.283598950333,창신동,37.5717776,127.0111671
26,동두천,2275.7424347158217,2878.376696108551,동두천동,37.9278254,127.0548769
27,동두천중앙,4036.018247567845,3841.0470302099347,생연동,37.9018069,127.0562196
28,동묘앞,9684.868410778292,9905.900819252432,숭인동,37.5733722,127.0167512
29,동암,20290.22274705581,20152.27511520737,십정동,37.4710056,126.7029352
30,동인천,18515.203475422426,17566.667844342042,인현동,37.4758467,126.6317872
31,두정,6331.07568484383,6814.784927035332,두정동,36.8329347,127.1490207
32,망월사,8889.560528673836,8950.820410906297,호원동,37.7104594,127.0473596
33,명학,10218.022868663596,10206.518644393242,안양동,37.3852172,126.9352657
34,방학,10257.138466461854,9870.762583205324,방학동,37.6663466,127.0444231
35,배방,1092.2833461341527,1058.201830517153,배방읍,36.7775632,127.0529047
36,백운,9272.718196364567,9020.6378328213,십정동,37.4832259,126.7072742
37,병점,15768.967377112136,15738.399123143885,진안동,37.2068018,127.0332434
38,보산,1895.2006272401431,1760.9503712237586,보산동,37.9143185,127.0572371
39,봉명,1419.5391833077317,1397.3181003584232,봉명동,36.8012573,127.1358356
40,부개,10244.325608038916,9551.036373527906,부개동,37.4883182,126.7402513
42,부평,38351.586085509465,42175.269233230916,부평동,37.4895676,126.7233507
44,서정리,5447.554390681004,5371.146940604199,서정동,37.0570034,127.0530063
45,석계,12016.056867639529,12587.547433435742,월계동,37.6153059,127.0656472
46,석수,11664.671575780849,10327.640905017923,석수동,37.4343424,126.9025292
47,성균관대,15816.979704301077,15172.23711597542,율전동,37.3001965,126.9721787
48,성환,4945.496818996416,4864.030337941628,성환읍,36.9166823,127.126942
49,세류,4264.4076740911405,4001.731547619048,장지동,37.2442527,127.0140994
50,세마,2669.6901881720432,2398.5671722990273,세교동,37.1869918,127.0430625
52,소요산,4809.8454877112135,3984.2352534562215,상봉암동,37.947954,127.0612132
54,송탄,5110.199532770096,4980.667767537122,신장동,37.0752834,127.0542998
55,수원,27587.045004480293,27305.89666218638,매산로1가,37.2656796,127.0002404
56,시청,24493.007622887868,24078.619438044032,정동,37.5654386,126.9769832
57,신길,6750.492937147978,6027.828952252944,신길동,37.5170318,126.9172249
58,신도림,32432.222811059903,32406.385506272403,신도림동,37.5087702,126.8910805
59,신설동,8922.649323462321,8681.897728489828,신설동,37.5747188,127.0250937
60,신이문,9749.945487711213,8603.613818484382,이문동,37.6042734,127.0695704
61,신창,2196.942537122376,2095.018241167435,신창면,36.7692218,126.950127
62,쌍용,2749.0719278033794,2576.395494111623,쌍용동,36.7937242,127.1213504
63,아산,3066.142581925243,2592.48475422427,배방읍,36.7920474,127.1041152
64,안양,27985.536226318487,27709.707795698927,안양동,37.401435,126.9230027
65,양주,9434.23061315924,8378.361098310292,남방동,37.7736548,127.044791
67,영등포,49772.051414490525,52567.159824628776,영등포동,37.515668,126.907666
68,오류동,12017.755696364567,11096.199955197131,오류동,37.4943592,126.8446007
69,오산,10652.755907578086,10135.292114695341,오산동,37.1458952,127.0668449
70,오산대,3150.385599078341,3117.6428763440863,수청동,37.1693006,127.0630648
71,온수,8908.96482014849,8553.367383512545,온수동,37.4924591,126.8240517
72,온양온천,5252.563492063492,5292.810112647209,온천동,36.7804683,127.0034511
73,외대앞,12319.578187403991,11655.907501280082,이문동,37.5954136,127.0630588
74,용산,39926.924155145934,40312.57744495647,한강로3가,37.5297718,126.9647415
75,월계,6091.021338965695,5544.891282642088,월계동,37.6321089,127.0587293
76,의왕,8797.38613031234,8374.611667946749,삼동,37.3211118,126.948383
77,의정부,22154.828904249876,23247.17827060932,의정부동,37.7379901,127.0458795
78,인천,3033.988088837686,3021.8178347414228,북성동1가,37.4765946,126.6170898
79,제기동,19900.109536610344,20358.21484895033,제기동,37.5782015,127.0346906
80,제물포,11144.520596518176,10420.218273169483,숭의동,37.4668173,126.6568779
81,종각,45412.066756272405,42842.17079493088,종로1가,37.5702141,126.9832397
82,종로3가,19492.932386072716,19506.62563150708,종로3가,37.5704266,126.9920293
83,종로5가,26220.653001792114,26234.7974718382,종로5가,37.5709075,127.0019167
84,주안,25741.508435739892,23611.429697900665,주안동,37.4649826,126.6806039
86,지제,1770.7240847414237,1676.5713517665129,지제동,37.0188067,127.0704448
87,지행,7490.811968766001,7435.0220942140295,지행동,37.8918774,127.0556642
88,직산,973.1360151049668,1028.278302611367,직산읍,36.8713898,127.1436914
89,진위,1733.1860983102924,1551.1870327700974,진위면,37.1099375,127.062367
90,창동,26592.446249009434,28348.943497508822,창동,37.6531955,127.0477009
91,천안,8536.806342805941,7800.910695084486,대흥동,36.8105719,127.1459513
92,청량리,21562.02356310804,22822.144975678442,전농동,37.5802272,127.0450512
93,평택,14707.963069636455,14479.610368663596,평택동,36.9909191,127.0846944
